# x lapse
-317.4400000000000 0.9942121547925
-314.8800000000000 0.9941652584681
-312.3200000000000 0.9941175950012
-309.7600000000000 0.9940691452539
-307.2000000000000 0.9940198892763
-304.6400000000000 0.9939698067069
-302.0800000000000 0.9939188767029
-299.5200000000000 0.9938670774037
-296.9600000000000 0.9938143860888
-294.4000000000000 0.9937607798453
-291.8400000000000 0.9937062350790
-289.2800000000000 0.9936507270042
-286.7200000000000 0.9935942301796
-284.1600000000000 0.9935367182047
-281.6000000000000 0.9934781634938
-279.0400000000000 0.9934185370919
-276.4800000000000 0.9933578089316
-273.9200000000000 0.9932959481878
-271.3600000000000 0.9932329229904
-268.8000000000000 0.9931686997940
-266.2400000000000 0.9931032441459
-263.6800000000000 0.9930365212200
-261.1200000000000 0.9929684944677
-258.5600000000000 0.9928991248783
-256.0000000000000 0.9928283721410
-253.4400000000000 0.9927561944523
-250.8800000000000 0.9926825477818
-248.3200000000000 0.9926073865552
-245.7600000000000 0.9925306643523
-243.2000000000000 0.9924523332169
-240.6400000000000 0.9923723428821
-238.0800000000000 0.9922906398509
-235.5200000000000 0.9922071675089
-232.9600000000000 0.9921218665977
-230.4000000000000 0.9920346760581
-227.8400000000000 0.9919455340237
-225.2800000000000 0.9918543763218
-222.7200000000000 0.9917611327788
-220.1600000000000 0.9916657295963
-217.6000000000000 0.9915680905234
-215.0400000000000 0.9914681355247
-212.4800000000000 0.9913657822897
-209.9200000000000 0.9912609449174
-207.3600000000000 0.9911535312161
-204.8000000000000 0.9910434427936
-202.2400000000000 0.9909305775844
-199.6800000000000 0.9908148314168
-197.1200000000000 0.9906960940467
-194.5600000000000 0.9905742466942
-192.0000000000000 0.9904491636452
-189.4400000000000 0.9903207155798
-186.8800000000000 0.9901887676988
-184.3200000000000 0.9900531737675
-181.7600000000000 0.9899137775421
-179.2000000000000 0.9897704191948
-176.6400000000000 0.9896229297593
-174.0800000000000 0.9894711233402
-171.5200000000000 0.9893148074065
-168.9600000000000 0.9891537812724
-166.4000000000000 0.9889878262746
-163.8400000000000 0.9888167123464
-161.2800000000000 0.9886401971578
-158.7200000000000 0.9884580201281
-156.1600000000000 0.9882699048952
-153.6000000000000 0.9880755576765
-151.0400000000000 0.9878746621079
-148.4800000000000 0.9876668818974
-145.9200000000000 0.9874518562122
-143.3600000000000 0.9872291981737
-140.8000000000000 0.9869984942239
-139.5200000000000 0.9868799872296
-138.2400000000000 0.9867592997416
-138.2400000000000 0.9867592997416
-136.9600000000000 0.9866363713200
-135.6800000000000 0.9865111389232
-135.6800000000000 0.9865111389232
-134.4000000000000 0.9863835371141
-133.1200000000000 0.9862534982419
-133.1200000000000 0.9862534982419
-131.8400000000000 0.9861209519911
-130.5600000000000 0.9859858251130
-130.5600000000000 0.9859858251130
-129.2800000000000 0.9858480414231
-128.0000000000000 0.9857075217101
-128.0000000000000 0.9857075217101
-126.7200000000000 0.9855641833736
-125.4400000000000 0.9854179410281
-125.4400000000000 0.9854179410281
-124.1600000000000 0.9852687047413
-122.8800000000000 0.9851163819499
-122.8800000000000 0.9851163819499
-121.6000000000000 0.9849608751834
-120.3200000000000 0.9848020838068
-120.3200000000000 0.9848020838068
-119.0400000000000 0.9846399036940
-117.7600000000000 0.9844742237302
-117.7600000000000 0.9844742237302
-116.4800000000000 0.9843049297343
-115.2000000000000 0.9841319041508
-115.2000000000000 0.9841319041508
-113.9200000000000 0.9839550213735
-112.6400000000000 0.9837741498863
-112.6400000000000 0.9837741498863
-111.3600000000000 0.9835891547842
-110.0800000000000 0.9833998938418
-110.0800000000000 0.9833998938418
-108.8000000000000 0.9832062165167
-107.5200000000000 0.9830079656820
-107.5200000000000 0.9830079656820
-106.2400000000000 0.9828049775123
-104.9600000000000 0.9825970806727
-104.9600000000000 0.9825970806727
-103.6800000000000 0.9823840943282
